iata_code,name,latitude_deg,longitude_deg
AGL,Wanigela Airport,-9.3375,149.155555556
NAZ,Nana Airport,-10.6758,162.2049
RIN,Ringi Cove Airport,-8.12639045715332,157.143005371094
RBV,Ramata Airport,-8.16806030273438,157.643005371094
TLG,Tulaghi Heliport,-9.108,160.149166667
AGY,Argyle Downs Airport,-16.514,128.9245
AHJ,Hongyuan Airport,32.53154,102.35224
AHT,Amchitka Army Airfield,51.3777777778,179.259166667
AHY,Ambatolhy Airport,-20.0158333333,45.535
AIE,Aiome Airport,-5.145699978,144.7307003
AIH,Aiambak Airport,-7.34277777778,141.2675
AIC,Ailinglaplap Airok Airport,7.279422,168.8257
CEX,Chena Hot Springs Airport,65.0518035889,-146.04699707
SOL,Solomon State Field,64.5605,-164.4457
HED,Herendeen Bay Airport,55.801399231,-160.899002075
TWE,Taylor Airport,65.6792984009,-164.798995972
KTH,Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005
NKI,Naukati Bay Seaplane Base,55.849602,-133.227994
LNI,Lonely Air Station,70.91069794,-153.2420044
CDL,Candle 2 Airport,65.907699585,-161.925994873
AOS,Amook Bay Seaplane Base,57.4715003967,-153.815002441
BSZ,Bartletts Airport,58.2162017822,-157.352005005
BSW,Boswell Bay Airport,60.4230995178,-146.145996094
AKM,Zakuoma Airport,10.8902777778,19.8172222222
TGE,Sharpe Field,32.4919013977,-85.7755966187
ALZ,Alitak Seaplane Base,56.8995018005,-154.248001099
PPE,Mar de Cortés International Airport,31.351621,-113.305864
AME,Alto Molocue Airport,-15.6102777778,37.6813888889
AMF,Ama Airport,-4.10111111111,141.67
AMU,Amanab Airport,-3.586,141.214333333
AMY,Ambatomainty Airport,-17.6866666667,45.6238888889
ANH,Anuha Island Resort Airport,-9.00138888889,160.225
INU,Nauru International Airport,-0.547458,166.919006
ANZ,Angus Downs Airport,-25.0325,132.2748
ANL,Andulo Airport,-11.4722995758,16.710899353
CNZ,Cangamba Airport,-13.7106,19.861099
DRC,Dirico Airport,-17.9819240570068,20.7680606842041
GGC,Lumbala Airport,-12.6398773193,22.5868206024
JMB,Jamba Airport,-14.6981925964355,16.0701484680176
KNP,Capanda Airport,-9.76937007904,15.4553194046
NDF,Ndalatandos Airport,-9.27518844604492,14.9772424697876
AOA,Aroa Airport,-9.0254,146.8
AOB,Annanberg Airport,-4.90416666667,144.635833333
AOD,Abou-Deïa Airport,11.4773,19.2874
APP,Asapa Airport,-8.97916666667,148.103611111
APR,April River Airport,-4.67666666667,142.540138889
AQY,Girdwood Airport,60.966099,-149.126007
QRF,Bragado Airport,-35.144,-60.4803
CSZ,[Duplicate] Brigadier Hector Ruiz Airport,-37.4333000183,-61.8833007812
CVI,Caleta Olivia Airport,-46.4318008423,-67.5186004639
CNT,Charata Airport,-27.2164,-61.2103
VGS,General Villegas Airport,-35,-63
LMD,Los Menucos Airport,-40.817699,-68.074699
SZQ,Saenz Peña Airport,-26.8157997131348,-60.448299407959
VCF,Valcheta Airport,-40.7000007629,-66.1500015259
NCJ,Sunchales Aeroclub Airport,-30.9575,-61.5283
CPG,Carmen De Patagones Airport,-40.7781,-62.9803
PRQ,Termal Airport,-26.753611,-60.492222
OLN,Colonia Sarmiento Airport,-45.582371,-68.999841
ARP,Aragip Airport,-9.88333333333,149.483333333
ARX,Asbury Park Neptune Air Terminal,40.2193055556,-74.0908333333
TAV,Tau Airport,-14.2292003632,-169.511001587
ASZ,Asirim Airport,-6.00972222222,150.368611111
ATN,Namatanai Airport,-3.6695,152.438
ATP,Aitape Airport,-3.14361111111,142.346805556
LYT,Lady Elliot Island Airstrip,-24.1129,152.7156
AGW,Agnew Airport,-12.1456003189087,142.149002075195
AYD,Alroy Downs Airport,-19.2908000946045,136.078994750977
BCK,[Duplicate] Bolwarra Airport,-17.388299942,144.169006348
BFC,[Duplicate] Bloomfield Airport,-15.8736000061,145.330001831
BVW,[Duplicate] Batavia Downs Airport,-12.6591997147,142.675003052
BYX,Baniyala Airport,-13.19810009,136.227005005
COB,Coolibah Airport,-15.5482997894287,130.962005615234
CQP,[Duplicate] Cape Flattery Airport,-14.9709997177,145.311004639
CRJ,Coorabie Airport,-31.8943996429443,132.296005249023
CRY,Carlton Hill Airport,-15.5018997192383,128.533996582031
CSD,Cresswell Downs Airport,-17.9479999542236,135.916000366211
CTR,[Duplicate] Cattle Creek Airport,-17.607000351,131.548995972
DYM,Diamantina Lakes Airport,-23.7616996765137,141.145004272461
HAT,[Duplicate] Heathlands Airport,-11.7369003296,142.57699585
HIG,[Duplicate] Highbury Airport,-16.4244003296,143.145996094
HIS,Hayman Island Resort Seaplane Base,-20.0599994659424,148.880996704102
HLV,Helenvale Airport,-15.6857995986938,145.214996337891
KBD,Kimberley Downs Airport,-17.3978004455566,124.355003356934
KGR,Kulgera Airport,-25.8428001403809,133.292007446289
KOH,[Duplicate] Koolatah Airport,-15.8886003494,142.438995361
KYF,[Duplicate] Yeelirrie Airport,-27.2768993378,120.096000671
MNW,[Duplicate] Macdonald Downs Airport,-22.4440002441,135.199005127
MUP,[Duplicate] Mulga Park Airport,-25.8600006104,131.649993896
MWY,Miranda Downs Airport,-17.328899,141.886002
MYO,Camballin Airport,-18.1247005462647,124.272003173828
NKB,[Duplicate] Noonkanbah Airport,-18.4946994781,124.851997375
OKB,Orchid Beach Airport,-24.959400177002,153.31500244141
PEP,Peppimenarti Airport,-14.144200325,130.091003418
RDA,Rockhampton Downs Airport,-18.9533004760742,135.20100402832
SSK,Sturt Creek Airport,-19.1664009094238,128.17399597168
SWB,Shaw River Airport,-21.5102996826172,119.361999511719
TPR,Tom Price Airport,-22.7460002899,117.869003296
TWP,Torwood Airport,-17.3633003234863,143.75
WRW,[Duplicate] Warrawagine Airport,-20.8442001343,120.702003479
WSY,[Duplicate] Whitsunday Airstrip,-20.27611,148.755
ZVG,Springvale Airport,-17.7868995666504,127.669998168945
AUI,Aua Island Airport,-1.46055555556,143.064722222
AUJ,Ambunti Airport,-4.21566666667,142.823166667
AUP,Agaun Airport,-9.930833,149.385667
AUS,Austin Robert Mueller Municipal,30.2987223546,-97.6997852325
AUV,Aumo Airport,-5.73111111111,148.445277778
AWE,Alowe Airport,-0.545,9.444
AWR,Awar Airport,-4.124,144.853
AXF,Alxa Left Banner-Bayanhot Airport,38.8241,105.626
KPM,Kompiam Airport,-5.38166666667,143.924722222
BUA,Buka Airport,-5.4223198890686,154.673004150391
BRP,Biaru Airport,-7.6693,146.7594
CMU,Chimbu Airport,-6.02429008483887,144.970993041992
MDM,Munduku Airport,-4.6204,143.4516
KPF,Kondobol Airport,-8.5336,142.5049
DNU,Dinangat Airport,-6.1546,146.6772
DOI,Doini Airport,-10.7009,150.7218
DAU,Daru Airport,-9.08675956726,143.207992554
EMS,Embessa Airport,-9.447,148.7628
XYR,Edwaki Airport,-3.883986,141.792234
EPT,Eliptamin Airport,-5.0412,141.6779
EGA,Engati Airstrip,-6.9179,146.1053
EMO,Emo River Airstrip,-9.1234,148.0415
ERU,Erume Airport,-8.2538,146.9747
MFZ,Meselia Airport,-6.1364,149.1183
FRQ,Feramin Airport,-5.208,141.6988
FAQ,Frieda River Airport,-4.610468,141.960138
FUM,Fuma Airport,-6.3933,142.4408
GKA,Goroka Airport,-6.08168983459,145.391998291
GUG,Guari Airport,-8.1286,146.8722
GRL,Garasa Airport,-7.980713,147.213461
GUR,Gurney Airport,-10.3114995956,150.333999634
GAP,Gusap Airport,-6.053196,145.959047
PNP,Girua Airport,-8.80453968048,148.309005737
GBC,Gasuke Airport,-6.1028,141.7393
HBD,Habi Airport,-6.32,142.4893
HNI,Heiweni Airport,-7.4223,146.4276
